(0.0020, 0.0100, 0.0290)	Architecture [6-49]	 Time 0.0420	 Loss 0.8373	 CELoss 0.7818	  RegLoss 0.0555	 s9 1.0106887817382812
(0.0020, 0.0120, 0.0270)	Architecture [6-54]	 Time 0.0430	 Loss 0.7587	 CELoss 0.7032	  RegLoss 0.0555	 s9 1.0106420516967773
(0.0020, 0.0110, 0.0270)	Architecture [7-4]	 Time 0.0410	 Loss 1.6338	 CELoss 1.5783	  RegLoss 0.0555	 s9 1.0105564594268799
(0.0010, 0.0080, 0.0180)	Architecture [7-9]	 Time 0.0290	 Loss 0.9187	 CELoss 0.8632	  RegLoss 0.0555	 s9 1.0106379985809326
(0.0020, 0.0110, 0.0270)	Architecture [7-14]	 Time 0.0410	 Loss 1.4641	 CELoss 1.4087	  RegLoss 0.0555	 s9 1.0106643438339233
(0.0010, 0.0100, 0.0270)	Architecture [7-19]	 Time 0.0400	 Loss 0.9548	 CELoss 0.8993	  RegLoss 0.0555	 s9 1.0106239318847656
(0.0020, 0.0080, 0.0200)	Architecture [7-24]	 Time 0.0300	 Loss 1.1814	 CELoss 1.1259	  RegLoss 0.0555	 s9 1.0105324983596802
(0.0010, 0.0120, 0.0260)	Architecture [7-29]	 Time 0.0400	 Loss 0.7170	 CELoss 0.6615	  RegLoss 0.0554	 s9 1.0104187726974487
(0.0020, 0.0110, 0.0280)	Architecture [7-34]	 Time 0.0420	 Loss 0.5812	 CELoss 0.5257	  RegLoss 0.0554	 s9 1.0103026628494263
(0.0020, 0.0100, 0.0190)	Architecture [7-39]	 Time 0.0330	 Loss 1.0735	 CELoss 1.0181	  RegLoss 0.0554	 s9 1.0102317333221436
(0.0010, 0.0090, 0.0190)	Architecture [7-44]	 Time 0.0310	 Loss 1.3736	 CELoss 1.3182	  RegLoss 0.0554	 s9 1.0101090669631958
(0.0010, 0.0100, 0.0290)	Architecture [7-49]	 Time 0.0410	 Loss 0.8913	 CELoss 0.8360	  RegLoss 0.0554	 s9 1.0100336074829102
(0.0020, 0.0120, 0.0260)	Architecture [7-54]	 Time 0.0420	 Loss 0.8404	 CELoss 0.7850	  RegLoss 0.0554	 s9 1.0100079774856567
(0.0020, 0.0100, 0.0290)	Architecture [8-4]	 Time 0.0420	 Loss 1.2195	 CELoss 1.1642	  RegLoss 0.0554	 s9 1.0099492073059082
(0.0020, 0.0100, 0.0300)	Architecture [8-9]	 Time 0.0430	 Loss 0.6630	 CELoss 0.6076	  RegLoss 0.0554	 s9 1.0098066329956055
(0.0020, 0.0070, 0.0190)	Architecture [8-14]	 Time 0.0280	 Loss 0.7247	 CELoss 0.6693	  RegLoss 0.0553	 s9 1.0097367763519287
(0.0020, 0.0100, 0.0270)	Architecture [8-19]	 Time 0.0400	 Loss 0.8300	 CELoss 0.7747	  RegLoss 0.0553	 s9 1.0096458196640015
(0.0020, 0.0120, 0.0280)	Architecture [8-24]	 Time 0.0440	 Loss 0.8872	 CELoss 0.8319	  RegLoss 0.0553	 s9 1.009570598602295
(0.0020, 0.0100, 0.0320)	Architecture [8-29]	 Time 0.0450	 Loss 0.8959	 CELoss 0.8407	  RegLoss 0.0553	 s9 1.0094010829925537
(0.0020, 0.0100, 0.0270)	Architecture [8-34]	 Time 0.0400	 Loss 0.9149	 CELoss 0.8596	  RegLoss 0.0553	 s9 1.0093775987625122
(0.0020, 0.0120, 0.0290)	Architecture [8-39]	 Time 0.0440	 Loss 1.0017	 CELoss 0.9464	  RegLoss 0.0553	 s9 1.0093278884887695
(0.0020, 0.0120, 0.0290)	Architecture [8-44]	 Time 0.0440	 Loss 1.0103	 CELoss 0.9551	  RegLoss 0.0553	 s9 1.009313702583313
(0.0010, 0.0110, 0.0270)	Architecture [8-49]	 Time 0.0410	 Loss 0.9206	 CELoss 0.8653	  RegLoss 0.0553	 s9 1.0094873905181885
(0.0010, 0.0130, 0.0280)	Architecture [8-54]	 Time 0.0440	 Loss 1.0613	 CELoss 1.0060	  RegLoss 0.0553	 s9 1.0095016956329346
(0.0010, 0.0130, 0.0280)	Architecture [9-4]	 Time 0.0440	 Loss 1.0632	 CELoss 1.0079	  RegLoss 0.0553	 s9 1.00942063331604
(0.0010, 0.0120, 0.0270)	Architecture [9-9]	 Time 0.0410	 Loss 1.6001	 CELoss 1.5448	  RegLoss 0.0553	 s9 1.009282112121582
(0.0020, 0.0110, 0.0280)	Architecture [9-14]	 Time 0.0420	 Loss 0.7101	 CELoss 0.6548	  RegLoss 0.0552	 s9 1.0090612173080444
(0.0020, 0.0110, 0.0270)	Architecture [9-19]	 Time 0.0420	 Loss 0.6560	 CELoss 0.6008	  RegLoss 0.0552	 s9 1.0089631080627441
(0.0020, 0.0100, 0.0270)	Architecture [9-24]	 Time 0.0410	 Loss 1.1215	 CELoss 1.0663	  RegLoss 0.0552	 s9 1.0088905096054077
(0.0010, 0.0110, 0.0270)	Architecture [9-29]	 Time 0.0400	 Loss 1.6301	 CELoss 1.5749	  RegLoss 0.0552	 s9 1.0089999437332153
(0.0020, 0.0100, 0.0270)	Architecture [9-34]	 Time 0.0400	 Loss 0.9426	 CELoss 0.8874	  RegLoss 0.0552	 s9 1.008874535560608
(0.0020, 0.0100, 0.0250)	Architecture [9-39]	 Time 0.0380	 Loss 0.4791	 CELoss 0.4239	  RegLoss 0.0552	 s9 1.0088247060775757
(0.0020, 0.0110, 0.0310)	Architecture [9-44]	 Time 0.0450	 Loss 1.0855	 CELoss 1.0303	  RegLoss 0.0552	 s9 1.0088105201721191
(0.0020, 0.0100, 0.0250)	Architecture [9-49]	 Time 0.0380	 Loss 0.9607	 CELoss 0.9055	  RegLoss 0.0552	 s9 1.0087255239486694
(0.0010, 0.0080, 0.0190)	Architecture [9-54]	 Time 0.0290	 Loss 1.7237	 CELoss 1.6685	  RegLoss 0.0552	 s9 1.0086774826049805
(0.0010, 0.0100, 0.0270)	Architecture [10-4]	 Time 0.0400	 Loss 0.7572	 CELoss 0.7020	  RegLoss 0.0552	 s9 1.0087727308273315
(0.0020, 0.0070, 0.0190)	Architecture [10-9]	 Time 0.0290	 Loss 3.8192	 CELoss 3.7640	  RegLoss 0.0552	 s9 1.0086339712142944
(0.0020, 0.0100, 0.0250)	Architecture [10-14]	 Time 0.0380	 Loss 0.6207	 CELoss 0.5656	  RegLoss 0.0551	 s9 1.0081191062927246
(0.0020, 0.0100, 0.0260)	Architecture [10-19]	 Time 0.0380	 Loss 0.6059	 CELoss 0.5508	  RegLoss 0.0551	 s9 1.0078647136688232
(0.0020, 0.0100, 0.0280)	Architecture [10-24]	 Time 0.0410	 Loss 0.8744	 CELoss 0.8193	  RegLoss 0.0550	 s9 1.007750153541565
